parsha_name,aliyah_number,is_complete,date_completed
Parashat Achrei Mot,1,True,2025-12-24T11:38:14.518334
Parashat Achrei Mot,2,True,2025-12-24T11:38:14.531343
Parashat Achrei Mot,3,True,2025-12-24T11:38:14.541061
Parashat Achrei Mot,4,True,2025-12-24T11:38:14.550903
Parashat Achrei Mot,5,True,2025-12-24T11:38:14.560035
Parashat Achrei Mot,6,True,2025-12-24T11:38:14.568891
Parashat Achrei Mot,7,True,2025-12-24T11:38:14.578106
Parashat Balak,1,True,2025-12-24T11:40:00.504626
Parashat Balak,2,True,2025-12-24T11:40:00.518483
Parashat Balak,3,True,2025-12-24T11:40:00.529852
Parashat Balak,4,True,2025-12-24T11:40:00.539348
Parashat Balak,5,True,2025-12-24T11:40:00.547897
Parashat Balak,6,True,2025-12-24T11:40:00.557642
Parashat Balak,7,True,2025-12-24T11:40:00.565982
Parashat Bamidbar,1,True,2025-12-24T11:38:50.088349
Parashat Bechukotai,1,True,2025-12-24T11:38:37.960768
Parashat Bechukotai,2,True,2025-12-24T11:38:37.976185
Parashat Bechukotai,3,True,2025-12-24T11:38:37.985902
Parashat Bechukotai,4,True,2025-12-24T11:38:37.995005
Parashat Bechukotai,5,True,2025-12-24T11:38:38.005146
Parashat Bechukotai,6,True,2025-12-24T11:38:38.013483
Parashat Bechukotai,7,True,2025-12-24T11:38:38.020045
Parashat Behar,1,True,2025-12-24T11:38:35.084968
Parashat Behar,2,True,2025-12-24T11:38:35.097130
Parashat Behar,3,True,2025-12-24T11:38:35.109462
Parashat Behar,4,True,2025-12-24T11:38:35.124071
Parashat Behar,5,True,2025-12-24T11:38:35.134940
Parashat Behar,6,True,2025-12-24T11:38:35.145559
Parashat Behar,7,True,2025-12-24T11:38:35.154816
Parashat Beha’alotcha,1,True,2025-12-24T11:39:10.402354
Parashat Beha’alotcha,2,True,2025-12-24T11:39:10.422225
Parashat Beha’alotcha,3,True,2025-12-24T11:39:10.432392
Parashat Beha’alotcha,4,True,2025-12-24T11:39:10.445057
Parashat Beha’alotcha,5,True,2025-12-24T11:39:10.452440
Parashat Beha’alotcha,6,True,2025-12-24T11:39:10.459598
Parashat Beha’alotcha,7,True,2025-12-24T11:39:10.466658
Parashat Bereshit,1,True,2025-12-24T11:31:02.486592
Parashat Bereshit,2,True,2025-12-24T11:31:04.398430
Parashat Bereshit,3,True,2025-12-24T11:31:06.494996
Parashat Bereshit,4,True,2025-12-24T11:31:08.041093
Parashat Bereshit,5,True,2025-12-24T11:31:08.958197
Parashat Bereshit,6,True,2025-12-24T11:31:10.235405
Parashat Bereshit,7,True,2025-12-24T11:31:11.768123
Parashat Beshalach,1,True,2025-12-24T11:34:35.600823
Parashat Beshalach,2,True,2025-12-24T11:34:46.559604
Parashat Beshalach,3,True,2025-12-24T11:34:50.555006
